video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption
_QF0jgJS0wM,Junya.じゅんや,junya1gou funny video 😂😂😂,"TikTok junya1gou
Instagram junya1gou

#shorts #TikTok #Junya #Junya1gou #JunyaLegend #meme #memes #TikTokChallenge #funnyvideo #funnytiktok #mostfunny #JunyaBest #junya1goutiktok",[],2023-11-06T08:30:15Z,217352,5694,0,39,PT59S,hd,false
pu3AVOii_rk,Junya.じゅんや,junya1gou funny video 😂😂😂,"TikTok junya1gou
Instagram junya1gou

#shorts #TikTok #Junya #Junya1gou #JunyaLegend #meme #memes #TikTokChallenge #funnyvideo #funnytiktok #mostfunny #JunyaBest #junya1goutiktok",[],2023-11-06T08:00:24Z,26364,191,0,22,PT3M6S,hd,false
n62M2pd0-p8,PewDiePie,Reacting,"#ad - Shop G FUEL’s Halloween BOGO: https://gfuel.ly/bogo-pewdiepie + 15-serving Mini Tubs: https://gfuel.ly/pewds-mini-tubs 

#ad - 🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/pewdiepie It’s risk free with Nord’s 30 day money-back guarantee!✌

Toasty ken: https://www.youtube.com/channel/UCepq9z9ovYGxhNrvf6VMSjg

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

Official ƿ૯ωძɿ૯ƿɿ૯ TikTok: https://www.tiktok.com/@pewdiepie

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-10-27T17:00:26Z,2309137,144888,0,4349,PT29M36S,hd,false
L0zminwWyxI,PewDiePie,I Learned 7 things in 7 days (to impress my son),"#AD - 🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/pewdiepie It’s risk free with Nord’s 30 day money-back guarantee!✌

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-10-12T17:00:26Z,1989555,139426,0,5155,PT25M22S,hd,false
CZy5pwKdMuo,PewDiePie,This is the best,"🧎#Subscribe🧎

Stock Up On ➡️🥤Gfuel (affiliate): https://gfuel.ly/pewdiepie-collection
#Code #Pewdiepie

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-10-04T17:15:00Z,3579966,266786,0,9012,PT13M56S,hd,false
ZFAuSU_XaZI,PewDiePie,The worst Hoarder on the Planet.,"#AD - Get exclusive NordVPN deal here ➵ https://NordVPN.com/pewdiepie It’s risk free with Nord’s 30 day money-back guarantee!""✌

Stock Up On ➡️🥤Gfuel (affiliate): https://gfuel.ly/pewdiepie-collection
#Code #Pewdiepie

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-09-30T17:15:02Z,1635364,85387,0,2743,PT14M40S,hd,false
sK37SolFV8I,PewDiePie,i am now supreme leader,"Get exclusive NordVPN deal here ➵ https://NordVPN.com/pewdiepie It’s risk free with Nord’s 30 day money-back guarantee!""✌

Stock Up On ➡️🥤Gfuel (affiliate): https://gfuel.ly/bogo-pewdiepie
#Code #Pewdiepie

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-09-22T16:48:14Z,1692122,122191,0,4668,PT17M26S,hd,false
_sPXXL9YXok,PewDiePie,dad life,"Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

#Partner #AD: Amaze","['pewdiepie', 'pewds', 'pewdie']",2023-09-15T15:54:58Z,3875099,253309,0,8724,PT27M56S,hd,false
bsrKZCf_tMU,PewDiePie,Reacting to my Wife's baby memes,"Get 33% off my NEW Stainless Steel G FUEL Starter Kit!
https://gfuel.ly/pewdiepie (48 hours only!!!)
Go to https://incogni.com/pewdiepie  and use code pewdiepie to get an exclusive 60% off an annual Incogni plan. | ad

Stock Up On ➡️🥤Gfuel (affiliate): https://gfuel.ly/pewdiepie-collection
#Code #Pewdiepie

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie']",2023-09-10T17:30:04Z,2889440,208880,0,3314,PT16M28S,hd,false
XBjfAEM4CPA,PewDiePie,I'm the best dad (proof),"🧎#Subscribe🧎

🌏 Get exclusive NordVPN deal here ➵ https://NordVPN.com/pewdiepie It’s risk free with Nord’s 30 day money-back guarantee!✌

Pre-Order the Limited Edition G FUEL x The Witcher Collector’s Box: http://gfuel.ly/pewdie-witcher 
Use code PEWDIEPIE for an EXTRA 20% Off!

Stock Up On ➡️🥤Gfuel (affiliate): https://gfuel.ly/pewdiepie-collection
#Code #Pewdiepie

Shop my OFFICIAL merch collection: https://bit.ly/pdpstore

∞ Official ƿ૯ωძɿ૯ƿɿ૯ Infinity Stream: https://www.twitch.tv/pewdiepie

⚙️ My Setup (affiliate links)⚙️
🎧 Headphones: https://www.anrdoezrs.net/click-100814745-14330447
🪑 Chair: https://tinyurl.com/clutchpdp
⌨️ 🖱️ Keyboard & Mouse: https://tinyurl.com/ghostpdp

🕹️ PewDiePie's Tuber Simulator
iOS: https://tinyurl.com/tuberIOS
Android: https://tinyurl.com/tuberandroid

🕹️ PewDiePie's Pixelings
iOS: https://tinyurl.com/pixelingsiOS
Android: https://tinyurl.com/pixelingsandroid","['pewdiepie', 'pewds', 'pewdie', 'pewdiepie son', 'pewds son', 'bjorn pewdiepie', 'bjorn', 'pewdiepie marzia son', 'pewdiepie dad', 'pewdiepie mom', 'marzia mom', 'marzia']",2023-08-30T17:00:20Z,2756952,221254,0,6324,PT13M31S,hd,false
