,video_id,comments
10,3yILnlnIqyU,"['JENNIE - ‘You & Me’ DANCE PERFORMANCE VIDEO\nhttps://youtu.be/eQNHDV7lKgE', 'This song is so addictive 😭😭😭😭😭😭', '🥵🥵🥵🥵', 'Iconic❤', '... CUTE!!', 'I love the new version better', '170k', 'Bu versiyonu orjinalinden daha güzel', 'THIS SONG IS COOL', 'يجنن احبك جيني 😭😭💗💗💔💔']"
11,eQNHDV7lKgE,"['Клёвый трек!😍😍😍', '제니가 최고야 그녀의 노래는 듣기에 정말 놀랍습니다. 나는 그것을 좋아하고 그것을 듣는 것을 멈출 수 없습니다. 그녀는 춤도 잘 춘다. 나도 커서 그녀처럼 될 수 있었으면 좋겠다. ❤❤❤😊다들 그 사람을 싫어해요 왜 그 사람이 멋지고 사랑스러운지 모르겠어요 제발 미워하지 마세요 🙏🏼🙏🏼🙏🏼 사랑해요 제니 ❤❤❤❤❤', 'Wow ❤❤', '60', '543K', 'I love you Jennie', 'Şarkı aşırı iyiiiii❤❤❤', 'Solo stream for 1B you and me stream for 100mn\nSolo dp stream for 300mn \nGuys keep stream', ""LET'S GO JENNIE!"", '530K\nPlease str3am her SOLO mv... Less than 25M we will reach a billion!!!']"
12,va6ituuGqQc,"['Love Jisoo', 'JIS00 🥶🥰', 'I love you Jiso❤❤❤❤❤❤', 'I love you jisoooo you are so cute and cool ı m from turkey bot ı love south korea ❤❤❤', 'Я тебя люблю❤', '🎉❤❤❤ l Love Jlsoo❤❤❤❤❤❤', '😅😅😅😅😅😅😅😊😊😊😊😊😊🇹🇴🔷🔷🔷🔷🔷🔷🔷🔷', 'BLACKPINK JISOO FLOWER', 'Jisoo❤🤍', '2M 🌹']"
13,lEQVW6uRUz8,"['Thích quá đi', 'Yeahhhh', ""Rosé is so funny 😂❤ I love you blackpink 🖤💓 I'm proud to be a blink 🖤💓 I always support and love you no matter what happens ❤ Do not care about haters. Because they are so jealous towards your success 😇 I hope blackpink and blinks can stay together forever 🖤💓🙂\n\n03/11/2023"", '💓💓💓💓', 'Cám ơn các chị đã đến VN ạ <3', '나는 블랙핑크를 좋아한다\nTui là ngx Việt', '❤❤❤❤❤', 'ฉันรักลิซ่า', 'Lụy đến giờ này chưa nguôi đây nài', 'Ustedes son demasiado para éste mundo😢']"
14,G6yvzF1Wdt0,"['I love you BLACK PINK 🖤💗 congratulations black pink', 'Blackpink is da ravalusit', 'You i love \nYou i love 1\nYou i love 2\nYou i love 3\nYou i love 4 \nYou i love 5 \nYou i love 6 \nYou i love 7 \nYou i love 8\nYou i love 9\nYou i love 10\nYou i love 12 \nYou i love 13 \nYou i love 14\nYou i love 15\nYou i love 16\nYou i love 17 \nYou i love 18\nYou i love 19 \nYou i love 20 \nYou i love 21\nYou i love 22\nYou i love 23\nYou i love 24\nYou i love 25\nYou i love 26\nYou i love 27\nYou i love 28\nYou i love 29\nYou i love 30\nYou i love 31 \nYou i love 32\nYou i love 33\nYou i love 34\nYou i love 35  \nYou i love 36  \nYou i love 37\nYou i love 38\nYou  i love 39\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\nYou i love 40\n\n\n\n\n\nYou i love 1000000000000000000000❤', 'Wow ❤❤❤❤❤', 'I love you Black Pink', 'Las amooo❤❤❤❤❤', 'Congratulations qeens of life you deserve much more and you will have it❤🔥', 'Rose jinne ❤😎😎😎🔥', 'Juda ham zoʻr', '❤']"
15,_nqUz_Y7zrs,"['❤❤❤❤❤❤', 'Soru blacpik😢❤', 'I love you Black pink!!!!!!!\U0001fa77🖤\U0001fa77🖤', '😍🥰🐥😍😍😍🥰🥰🥰😘😘😘💗💗💗🇰🇷🇰🇷🇰🇷👱🏻\u200d♀️👱🏻\u200d♀️👱🏻\u200d♀️👱🏻\u200d♀️👍🏻👍🏻👍🏻 ILove you', 'Never look back ❤', 'I always dream when ,I get adult ,I go korea and , I meet black pink but it will dream always love you black pink❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', 'OUR 4 QUEENS🔥🔥🖤🖤 LOVED IT THERE💞💞🔥🔥', 'Blackoutpink      Love❤❤❤❤❤❤❤❤❤', 'Что за чушь?Кто это вообще?Шоу хора девочек😂😂😂😂😂', ""Let's go""]"
16,-bamhqJtLp4,"['E meqtai uouast na ih koncert', 'E lole Blackrink❤ miss, you, oni domda', 'Lisa   pop  k  loveyou    loveyou   \nLisa  pop  k   fun', ""BLACKPINK 🖤💓 You guys helped me  , when I was struggling many problems ❤ I'm really wish to join your concerts but , I'm not lucky 😭😭 Please don't disband 😭 My heart couldn't bear it😭😭 I'm proud to be BLINK❤\n\n03/11/2023"", 'Inoubliable 💖 Merci Beaucoup !!! On vous aime 🖤 BLINK BLINK BLINK !', 'Blackpink love lorie bressac jennie kim jisoo kim rose lisa love lorie bressac 💖💟💓💞💜💝💘💚', 'I LOVE YOU BLACKPINK ❤❤❤', ""I don't want Blackpink to break up"", '안녕하세요 제니님 저는 당신의 가장 큰 팬입니다. 터키에서 당신을 지켜보고 있습니다. 저는 다른 사람들과 다릅니다. 한 번도 가보지 못했지만 너무 보고 싶었습니다. 이 메시지를 확인해주세요.♾️ 💕', 'They are my life  I am raising my hand for blackpink ✋']"
17,Tn3l0OIU3m4,"['❤❤❤❤❤', 'Now why this video only the like been hide ?!?!', '❤❤❤❤', 'Lisa❤❤❤', 'Lisa ,you  are the best ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', 'Lisaaa❤❤❤❤', 'LOVE YOU LISAAAAAAAA. Your solo is the best solo ever. I am your biggest fan in the world 🌎 ❤️ ♥️ 💕 💓 😌 🌎 ❤️ ♥️ 💕 💓 😌', '麗莎啊啊啊團隊❤❤', '❤❤❤', '💗🖤💗🖤💗🖤💗🖤💗🖤💗🖤💗🥰🥰🥰🥰🥰😍😍😍😍😍']"
18,XO4uvysZMro,"['love you BLACK PINK your so cute 🥰', 'oi', '❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤', ""Stay together, don't separate, don't separate even in 2027, we love you 😢😢😢"", '😢😢😢😢😢', 'YUO IT VietNammese😊😊😊😊', 'I love you blackpink ❤❤❤❤💗💗💘❤❤💘💗💗😍😍😍😍🤩🤩😘😘', 'You guys look so cute together\nI love you blackpink💞☺😄', 'ลิซ่ากินยาเม็ดได้แล้วยัง.ไม่ไข้แล้วเหอะ', 'Lisa 여왕은이디에서앞머리를찾았나요']"
19,aj7DXBqPxJA,"['Is it the last concert 😭💔♥️♥️♥️', 'yennie aparse de su nuevacancion', '블랙핑크 제발 끝나지 마', 'Black pink🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗🖤BLΛƆKPIИK💗', 'I want join in group', '❤❤❤❤❤ blackpink ❤❤❤❤❤', ""It's a blackpink real channel or not."", 'I love you black Pink', '😢', 'BLACKPINK 我愛你們所有人 ❤❤❤❤❤❤❤❤❤']"
