,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
561,FzVR_fymZw4,BLACKPINK,BLACKPINK - 'STAY' M/V,"BLACKPINK - STAY

툭하면 거친 말들로
내 맘에 상처를 내놓고
미안하단 말 한마디 없이
또 나 혼자 위로하고
오늘 하루도 혹시 날 떠날까
늘 불안해 해
I just want you to stay
점점 무뎌져 가는 너의 그 무표정 속에
천천히 내려놓자며 거울에 속삭이곤 해
날 당연하게 생각하는 너지만
그게 너다워
그래도 stay stay stay with me
널 닮은 듯한 슬픈 멜로디
이렇게 날 울리는데 eh eh
네 향기는 달콤한 felony
너무 밉지만 사랑해
어두운 밤이 날 가두기 전에
내 곁을 떠나지마
아직 날 사랑하니
내 맘과 같다면 오늘은 떠나지마
굳이 너여야만 하는 이유는 묻지마
그저 내 곁에 stay with me
It goes a little something like
지금 당장 많은 걸 바라는 게 아냐
그저 내 곁에 stay with me
사실은 난 더 바라는 게 없어 이제
심장은 뛰긴 하는 건지 무감각해 그래
사람들과의 억지스런 한마디보단
너와의 어색한 침묵이 차라리 좋아
So stay 그게 어디가 됐건 말이야
가끔 어둠이 올 때면 I’ll be your fire
거짓 같은 세상 속 유일한 truth it’s you
This a letter from me to you
널 닮은 듯한 슬픈 멜로디
이렇게 날 울리는데 eh eh
네 향기는 달콤한 felony
너무 밉지만 사랑해
어두운 밤이 날 가두기 전에
내 곁을 떠나지마
아직 날 사랑하니
내 맘과 같다면 오늘은 떠나지마
굳이 너여야만 하는 이유는 묻지마
그저 내 곁에 stay with me
It goes a little something like
지금 당장 많은걸 바라는 게 아냐
그저 내 곁에 stay with me
It goes a little something like
지금 당장 많은걸 바라는 게 아냐
그저 내 곁에 stay with me

Available @ https://BLACKPINK.lnk.to/SQUARETWOID

#BLACKPINK #SQUARETWO #STAY #MV #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG']",2016-10-31T15:00:18Z,353369266,6147482,,479327,PT4M1S,hd,true
562,9pdj4iJD08s,BLACKPINK,BLACKPINK - '불장난 (PLAYING WITH FIRE)' M/V,"BLACKPINK - 불장난 (PLAYING WITH FIRE)

우리 엄만 매일 내게 말했어
언제나 남자 조심하라고
사랑은 마치 불장난 같아서 다치니까 Eh
엄마 말이 꼭 맞을지도 몰라
널 보면 내 맘이 뜨겁게 달아올라
두려움보단 널 향한 끌림이 더 크니까 Eh
멈출 수 없는 이 떨림은
On and on and on
내 전부를 너란 세상에
다 던지고 싶어
Look at me look at me now
이렇게 넌 날 애태우고 있잖아
끌 수 없어
우리 사랑은 불장난
My love is on fire
Now burn baby burn
불장난
My love is on fire
So don’t play with me boy
불장난
Oh no 난 이미 멀리 와버렸는걸
어느새 이 모든 게 장난이 아닌 걸
사랑이란 빨간 불씨
불어라 바람 더 커져가는 불길
이게 약인지 독인지 우리 엄마도 몰라
내 맘 도둑인데 왜 경찰도 몰라
불 붙은 내 심장에 더 부어라 너란 기름
kiss him will I diss him I
don’t know but I miss him
중독을 넘어선 이 사랑은 crack
내 심장의 색깔은 black
멈출 수 없는 이 떨림은
On and on and on
내 전부를 너란 불길 속으로
던지고 싶어
Look at me look at me now
이렇게 넌 날 애태우고 있잖아
끌 수 없어
우리 사랑은 불장난
My love is on fire
Now burn baby burn
불장난
My love is on fire
So don’t play with me boy
불장난
걷잡을 수가 없는 걸
너무나 빨리 퍼져 가는 이 불길
이런 날 멈추지 마
이 사랑이 오늘 밤을 태워버리게
whooo

Available @ https://BLACKPINK.lnk.to/SQUARETWOID

#BLACKPINK  #SQUARETWO #불장난 #PLAYINGWITHFIRE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG']",2016-10-31T15:00:06Z,848732490,8614929,,530246,PT3M29S,hd,true
563,-4f_1HYnTcM,BLACKPINK,BLACKPINK - '불장난 (PLAYING WITH FIRE)’ M/V BEHIND THE SCENES,"#BLACKPINK #SQUARETWO #불장난 #PLAYINGWITHFIRE #MAKINGFILM #TODAY #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG', 'MAKINGFILM']",2016-10-31T15:00:01Z,7410292,379204,,5984,PT4M40S,hd,true
564,tSuKh0obBKE,BLACKPINK,BLACKPINK - 'STAY' M/V BEHIND THE SCENES,"#BLACKPINK #SQUARETWO #STAY #MAKINGFILM #D2 #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG', 'MAKINGFILM']",2016-10-30T15:00:02Z,4426268,252682,,6777,PT4M47S,hd,true
565,8hOo7Ms5Syk,BLACKPINK,BLACKPINK - SQUARE TWO TEASER FILM D-3,"#BLACKPINK #SQUARETWO #TEASERFILM #불장난 #PLAYINGWITHFIRE #STAY #휘파람 #WHISTLE #ACOUSTICVER #D3 #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG']",2016-10-29T07:00:01Z,2092607,209172,,,PT53S,hd,false
566,w_SXfxgqKOs,BLACKPINK,BLACKPINK - SQUARE TWO TEASER FILM 'JENNIE&ROSÉ' D-3,"#BLACKPINK #SQUARETWO #TEASERFILM #불장난 #PLAYINGWITHFIRE #STAY #휘파람 #WHISTLE #ACOUSTICVER #D3 #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG']",2016-10-29T01:00:01Z,1022828,103176,,2762,PT38S,hd,false
567,P6U9MX-5fmI,BLACKPINK,BLACKPINK - SQUARE TWO TEASER FILM 'JISOO&LISA' D-3,"#BLACKPINK #SQUARETWO #TEASERFILM #불장난 #PLAYINGWITHFIRE #STAY #휘파람 #WHISTLE #ACOUSTICVER #D3 #20161101 #0AM #NEWRELEASE #YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', '블랙핑크', '블핑', '불장난', 'SQUARETWO', 'PLAYINGWITHFIRE', 'STAY', '휘파람', 'WHISTLE', 'YG']",2016-10-29T01:00:00Z,1270244,108249,,2650,PT38S,hd,false
568,o4rSRaqvHyc,BLACKPINK,BLACKPINK​ - '휘파람(WHISTLE)' 0911 SBS Inkigayo : NO.1 OF THE WEEK,"Copyrightⓒ2016 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.

[BLACKPINK​ - '휘파람(WHISTLE)' 0911 SBS Inkigayo : NO.1 OF THE WEEK]

*TVcast로 보기 : http://tvcast.naver.com/v/1105740

Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

#‎BLACKPINK #휘파람 #WHISTLE #‎붐바야 #‎BOOMBAYAH #‎DEBUTSINGLE #‎SQUAREONE #‎DEBUT #‎YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official",,2016-09-11T09:12:03Z,6201691,254170,,6888,PT4M55S,hd,false
569,6F0UWgSSQqU,BLACKPINK,BLACKPINK​ - '휘파람(WHISTLE)' 0904 SBS Inkigayo,"Copyrightⓒ2016 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.

*TVcast로 보기 : http://tvcast.naver.com/v/1092966

Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

BLACKPINK - '붐바야'(BOOMBAYAH) M/V @ https://youtu.be/bwmSjveL3Lc

#‎BLACKPINK #휘파람 #WHISTLE #‎붐바야 #‎BOOMBAYAH #‎DEBUTSINGLE #‎SQUAREONE #‎DEBUT #‎YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', 'SQUARE ONE', 'WHISTLE', '블랙핑크', '휘파랑']",2016-09-04T08:38:53Z,9661998,255583,,9291,PT3M33S,hd,false
570,13XTnp3Lp84,BLACKPINK,BLACKPINK​ - '휘파람(WHISTLE)' 0828 SBS Inkigayo,"Copyrightⓒ2016 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.

*TVcast로 보기 : http://tvcast.naver.com/v/1079331

Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

BLACKPINK - '붐바야'(BOOMBAYAH) M/V @ https://youtu.be/bwmSjveL3Lc

#‎BLACKPINK #휘파람 #WHISTLE #‎붐바야 #‎BOOMBAYAH #‎DEBUTSINGLE #‎SQUAREONE #‎DEBUT #‎YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['BLACKPINK', 'WHISTLE', 'SQUARE ONE', '블랙핑크', '휘파람', '스퀘어원']",2016-08-28T09:02:53Z,31692025,650902,,20495,PT3M33S,hd,false
571,EKHdMwRaU60,BLACKPINK,BLACKPINK​ - '붐바야(BOOMBAYAH)' 0828 SBS Inkigayo,"Copyrightⓒ2016 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.

*TVcast로 보기 : http://tvcast.naver.com/v/1079338

Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

BLACKPINK - '붐바야'(BOOMBAYAH) M/V @ https://youtu.be/bwmSjveL3Lc

#‎BLACKPINK #‎붐바야 #‎BOOMBAYAH #‎DEBUTSINGLE #‎SQUAREONE #‎DEBUT #‎YG

More about BLACKPINK @
http://www.blackpinkofficial.com/
http://www.facebook.com/BLACKPINKOFFICIAL
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.instagram.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official","['블랙핑크', '붐바야', '스퀘어원', 'BLACKPINK', 'BOOMBAYAH', 'SQUARE ONE']",2016-08-28T09:02:35Z,60850991,829831,,23107,PT4M3S,hd,false
572,9bOfCLnOQnI,BLACKPINK,BLACKPINK - BEHIND THE SCENES #001,"Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

BLACKPINK - '붐바야'(BOOMBAYAH) M/V @ https://youtu.be/bwmSjveL3Lc

#BLACKPINK #BEHINDTHESCENES #001 #블핑TV #20160821 #INKIGAYO #BLACKPINK1stWin

More about BLACKPINK @ 
http://blackpinkofficial.com
https://www.facebook.com/BLACKPINKOFFICIAL/
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official
http://www.instagram.com/BLACKPINKOFFICIAL",,2016-08-25T13:00:00Z,6111654,258262,,9082,PT3M29S,hd,false
573,metZ_f8aqC0,BLACKPINK,BLACKPINK​ - '휘파람(WHISTLE)' 0821 SBS Inkigayo,"Copyrightⓒ2016 SBS Contents Hub Co., Ltd. & YG Entertainment Inc. All rights reserved.

*NAVER TVcast로 보기 : http://tvcast.naver.com/v/1065163

Available @ https://BLACKPINK.lnk.to/SQUAREONEID

BLACKPINK - '휘파람'(WHISTLE) M/V  @ https://youtu.be/dISNgvVpWlo

BLACKPINK - '붐바야'(BOOMBAYAH) M/V @ https://youtu.be/bwmSjveL3Lc

#‎BLACKPINK #‎붐바야 #‎BOOMBAYAH #‎DEBUTSINGLE #‎SQUAREONE #‎DEBUT #‎YG

More about BLACKPINK @ 
http://blackpinkofficial.com
https://www.facebook.com/BLACKPINKOFFICIAL/
http://www.youtube.com/BLACKPINKOFFICIAL
http://www.twitter.com/ygent_official
http://www.instagram.com/BLACKPINKOFFICIAL",,2016-08-21T09:55:58Z,41756119,893940,,26133,PT3M35S,hd,false
