1053080140	20210708	202107	2021	2021.5151	AFG	AFGHAN	AFG								DEU	GERMANY	DEU								0	010	010	01	1	0.0	2	1	2	-2.12464589235127	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	1	Germany	GM	GM	51.5	10.5	GM	1	Germany	GM	GM	51.5	10.5	GM	20220708	https://www.amren.com/news/2022/07/success-for-syrians-as-thousands-of-2015s-refugees-become-german/
1053080141	20210708	202107	2021	2021.5151	AFG	AFGHAN	AFG								DEU	GERMANY	DEU								0	010	010	01	1	0.0	2	1	2	-2.12464589235127	1	Syria	SY	SY	35	38	SY	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220708	https://www.amren.com/news/2022/07/success-for-syrians-as-thousands-of-2015s-refugees-become-german/
1053080142	20210708	202107	2021	2021.5151	AFGREF	AFGHAN	AFG					REF			DEU	GERMANY	DEU								0	010	010	01	1	0.0	6	1	6	-2.12464589235127	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	1	Germany	GM	GM	51.5	10.5	GM	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220708	https://www.amren.com/news/2022/07/success-for-syrians-as-thousands-of-2015s-refugees-become-german/
1053083312	20220708	202207	2022	2022.5151											AFG	KABUL	AFG								1	042	042	04	1	1.9	410	68	402	-0.751778364133554	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220708	https://www.longbeachstar.com/news/272613346/un-envoy-meets-hamid-karzai-to-discuss-pressing-issues-affecting-afghans
1053083314	20220708	202207	2022	2022.5151											AFG	AFGHANISTAN	AFG								0	061	061	06	2	6.4	20	2	20	-3.15155682499383	0							1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220708	https://news.webindia123.com/news/Articles/World/20220708/3960501.html
1053083332	20220708	202207	2022	2022.5151											COP	DEPUTY						COP			1	040	040	04	1	1.0	10	1	10	-4.10958904109589	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220708	https://www.longbeachstar.com/news/272613346/un-envoy-meets-hamid-karzai-to-discuss-pressing-issues-affecting-afghans
1053083406	20220708	202207	2022	2022.5151											RUS	RUSSIA	RUS								0	190	190	19	4	-10.0	2	1	2	-0.73170731707317	0							1	Afghanistan	AF	AF	33	66	AF	1	Russia	RS	RS	60	100	RS	20220708	https://www.bbc.com/news/world-us-canada-62001336
1053083478	20220708	202207	2022	2022.5151	AFG	KABUL	AFG																		1	043	043	04	1	2.8	409	68	401	-0.740927354865136	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220708	https://www.longbeachstar.com/news/272613346/un-envoy-meets-hamid-karzai-to-discuss-pressing-issues-affecting-afghans
1053083480	20220708	202207	2022	2022.5151	AFG	AFGHANISTAN	AFG								IGOWSTNAT	NATO	WST	NAT				IGO			0	160	160	16	4	-4.0	8	8	8	-5.00461254612547	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	20220708	https://www.bignewsnetwork.com/news/272613401/afghanistan-thousands-displaced-in-sar-e-pul-province-due-to-fighting-over-coal-mines
1053083481	20220708	202207	2022	2022.5151	AFG	AFGHANISTAN	AFG								IGOWSTNAT	NATO	WST	NAT				IGO			0	160	160	16	4	-4.0	8	8	8	-5.00461254612547	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	4	Panjshir, Panjshir, Afghanistan	AF	AF42	35.2648	69.4687	-3389223	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	20220708	https://www.bignewsnetwork.com/news/272613401/afghanistan-thousands-displaced-in-sar-e-pul-province-due-to-fighting-over-coal-mines
1053083482	20220708	202207	2022	2022.5151	AFG	AFGHANISTAN	AFG								IGOWSTNAT	NATO	WST	NAT				IGO			0	160	160	16	4	-4.0	24	8	24	-5.00461254612547	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	1	United States	US	US	39.828175	-98.5795	US	5	Bamyan Province, Bamian, Afghanistan	AF	AF05	34.75	67.25	-3370073	20220708	https://www.bignewsnetwork.com/news/272613401/afghanistan-thousands-displaced-in-sar-e-pul-province-due-to-fighting-over-coal-mines
