1053454447	20220711	202207	2022	2022.5233	CHN	BEIJING	CHN								AFG	AFGHANISTAN	AFG								0	020	020	02	1	3.0	4	2	4	-4.44015444015444	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Khorasan, Helmand, Afghanistan	AF	AF10	32.2193	63.808	-3380846	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	20220711	https://www.azerbaijannews.net/news/272615526/china-apprehensive-about-making-more-investments-in-afghanistan
1053454448	20220711	202207	2022	2022.5233	CHN	CHINA	CHN								AFG	AFGHANISTAN	AFG								0	020	020	02	1	3.0	2	2	2	-4.44015444015444	4	Beijing, Beijing, China	CH	CH22	39.9289	116.388	-1898541	4	Khorasan, Helmand, Afghanistan	AF	AF10	32.2193	63.808	-3380846	4	Khorasan, Helmand, Afghanistan	AF	AF10	32.2193	63.808	-3380846	20220711	https://www.azerbaijannews.net/news/272615526/china-apprehensive-about-making-more-investments-in-afghanistan
1053454593	20220711	202207	2022	2022.5233	EDU	SCHOOL						EDU			BUS	BUSINESS						BUS			0	173	173	17	4	-5.0	708	119	708	-0.53793233719568	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	1	Pakistan	PK	PK	30	70	PK	1	Pakistan	PK	PK	30	70	PK	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454594	20220711	202207	2022	2022.5233	EDU	SCHOOL						EDU			BUS	BUSINESS						BUS			0	173	173	17	4	-5.0	233	119	233	-0.537928721806778	1	Pakistan	PK	PK	30	70	PK	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454597	20220711	202207	2022	2022.5233	EDU	SCHOOL						EDU			PAK	PAKISTAN	PAK								0	042	042	04	1	1.9	1416	119	1416	-0.53793233719568	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	1	Pakistan	PK	PK	30	70	PK	1	Pakistan	PK	PK	30	70	PK	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454611	20220711	202207	2022	2022.5233	GBR	UNITED KINGDOM	GBR																		0	012	012	01	1	-0.4	466	119	466	-0.537928721806778	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454625	20220711	202207	2022	2022.5233	GBR	UNITED KINGDOM	GBR								AFG	AFGHANISTAN	AFG								0	051	051	05	1	3.4	944	119	944	-0.53793233719568	4	Saffron Walden, Essex, United Kingdom	UK	UKE4	52.0167	0.25	-2606767	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Saffron Walden, Essex, United Kingdom	UK	UKE4	52.0167	0.25	-2606767	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454663	20220711	202207	2022	2022.5233	GOV	PRIME MINISTER						GOV			AFG	AFGHANISTAN	AFG								0	051	051	05	1	3.4	466	119	466	-0.537928721806778	1	Pakistan	PK	PK	30	70	PK	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	1	Pakistan	PK	PK	30	70	PK	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454694	20220711	202207	2022	2022.5233	GOV	ATTORNEY GENERAL						GOV			PAK	PAKISTAN	PAK								0	051	051	05	1	3.4	932	119	932	-0.537928721806778	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	1	Pakistan	PK	PK	30	70	PK	1	Pakistan	PK	PK	30	70	PK	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
1053454714	20220711	202207	2022	2022.5233	GOVGOV	FOREIGN OFFICE						GOV	GOV												0	060	060	06	2	6.0	2348	119	2348	-0.53793233719568	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220711	https://www.peeblesshirenews.com/news/20269415.runners-riders---full-list-tories-fighting-replace-johnson-pm/
