1053601261	20220712	202207	2022	2022.5260	AFG	AFGHANISTAN	AFG								AFGREB	KABUL	AFG					REB			1	1831	183	18	4	-10.0	6	1	6	0	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220712	https://oilcity.news/community/2022/07/11/dont-forget-their-names-father-of-fallen-wyoming-marine-rylee-mccollum-in-casper-for-parade-memorial-5k/
1053602362	20220712	202207	2022	2022.5260	USA	UNITED STATES	USA								AFG	AFGHANISTAN	AFG								1	1831	183	18	4	-10.0	4	1	4	0	2	Wyoming, United States	US	USWY	42.7475	-107.209	WY	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220712	https://oilcity.news/community/2022/07/11/dont-forget-their-names-father-of-fallen-wyoming-marine-rylee-mccollum-in-casper-for-parade-memorial-5k/
1053604142	20220712	202207	2022	2022.5260	GOV	EMBASSY						GOV													0	030	030	03	1	4.0	10	1	10	-4.15929203539823	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220712	https://historyofyesterday.com/the-story-of-julian-assange-and-leaked-secret-us-intel-2191925cec86?gi=66365094520c
1053604669	20220712	202207	2022	2022.5260	UKR	UKRAINIAN	UKR								RUS	RUSSIAN	RUS								1	190	190	19	4	-10.0	2	1	2	-5.70342205323194	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220712	http://www.baltimoresun.com/opinion/readers-respond/bs-ed-rr-us-military-supplies-ukraine-letter-20220711-d7odlc2lkbdohbtkq7oich4ouq-story.html
1053604784	20220712	202207	2022	2022.5260	USA	THE US	USA																		0	173	173	17	4	-5.0	10	1	10	-4.15929203539823	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220712	https://historyofyesterday.com/the-story-of-julian-assange-and-leaked-secret-us-intel-2191925cec86?gi=66365094520c
1053604927	20220712	202207	2022	2022.5260	USA	UNITED STATES	USA								RUS	RUSSIAN	RUS								1	190	190	19	4	-10.0	6	1	6	-5.70342205323194	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220712	http://www.baltimoresun.com/opinion/readers-respond/bs-ed-rr-us-military-supplies-ukraine-letter-20220711-d7odlc2lkbdohbtkq7oich4ouq-story.html
1053604931	20220712	202207	2022	2022.5260	USA	UNITED STATES	USA								UKR	UKRAINE	UKR								1	072	072	07	2	8.3	2	1	2	-5.70342205323194	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220712	http://www.baltimoresun.com/opinion/readers-respond/bs-ed-rr-us-military-supplies-ukraine-letter-20220711-d7odlc2lkbdohbtkq7oich4ouq-story.html
1053606082	20220712	202207	2022	2022.5260	AFG	AFGHANISTAN	AFG																		0	181	181	18	4	-9.0	30	6	30	-10.652323170137	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220712	https://www.iranherald.com/news/272616799/un-thousands-of-children-suffer-grave-abuses-in-war-zones
1053606083	20220712	202207	2022	2022.5260	AFG	AFGHANISTAN	AFG								AFGINSTAL	TALIBAN	AFG	TAL				INS			0	190	190	19	4	-10.0	30	6	30	-10.652323170137	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220712	https://www.iranherald.com/news/272616799/un-thousands-of-children-suffer-grave-abuses-in-war-zones
1053606085	20220712	202207	2022	2022.5260	AFG	AFGHANISTAN	AFG								EDU	SCHOOL						EDU			0	181	181	18	4	-9.0	30	6	30	-10.652323170137	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220712	https://www.iranherald.com/news/272616799/un-thousands-of-children-suffer-grave-abuses-in-war-zones
