1053357755	20220610	202206	2022	2022.4384	UKR	KYIV	UKR																		1	042	042	04	1	1.9	2	1	2	0.49455984174086	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20220710	https://www.cnsnews.com/index.php/article/international/patrick-goodenough/russia-welcomes-boris-johnsons-resignation-clown-leaving
1053357756	20220610	202206	2022	2022.4384	UKR	KYIV	UKR																		1	042	042	04	1	1.9	6	1	6	0.49455984174086	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220710	https://www.cnsnews.com/index.php/article/international/patrick-goodenough/russia-welcomes-boris-johnsons-resignation-clown-leaving
1053358368	20220710	202207	2022	2022.5205	HTIGOV	RAYMOND JOSEPH	HTI					GOV			FRA	FRANCE	FRA								1	042	042	04	1	1.9	76	19	76	-1.98463335042102	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220710	https://www.tdtnews.com/news/article_e31dc390-ffda-11ec-8f3e-e76e668ce4b7.html
1053358499	20220710	202207	2022	2022.5205	MIL	GENERALS						MIL													0	020	020	02	1	3.0	5	1	5	0.49455984174086	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220710	https://www.cnsnews.com/index.php/article/international/patrick-goodenough/russia-welcomes-boris-johnsons-resignation-clown-leaving
1053358662	20220710	202207	2022	2022.5205	UKR	KYIV	UKR																		1	042	042	04	1	1.9	2	1	2	0.49455984174086	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	0							4	London, London, City of, United Kingdom	UK	UKH9	51.5	-0.116667	-2601889	20220710	https://www.cnsnews.com/index.php/article/international/patrick-goodenough/russia-welcomes-boris-johnsons-resignation-clown-leaving
1053359179	20220710	202207	2022	2022.5205											AFG	AFGHANISTAN	AFG								0	046	046	04	1	7.0	2	1	2	-2.03488372093024	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053359243	20220710	202207	2022	2022.5205											MED	MEDIA						MED			0	010	010	01	1	0.0	6	1	6	-2.03488372093024	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053359245	20220710	202207	2022	2022.5205											MIL	MILITARY						MIL			0	042	042	04	1	1.9	10	1	10	-2.03488372093024	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053359319	20220710	202207	2022	2022.5205	AFG	AFGHANISTAN	AFG																		0	046	046	04	1	7.0	2	1	2	-2.03488372093024	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053359742	20220710	202207	2022	2022.5205	MED	MEDIA						MED			AFG	AFGHANISTAN	AFG								0	010	010	01	1	0.0	4	1	4	-2.03488372093024	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053359829	20220710	202207	2022	2022.5205	PAK	PAKISTANI	PAK								PAKGOV	PAKISTAN	PAK					GOV			0	036	036	03	1	4.0	1	1	1	-2.03488372093024	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	1	Pakistan	PK	PK	30	70	PK	20220710	https://www.dawn.com/news/1699160/a-collective-mistake
1053363267	20220710	202207	2022	2022.5205											TUR	TURKEY	TUR								0	061	061	06	2	6.4	2	1	2	-2.40549828178694	0							1	Afghanistan	AF	AF	33	66	AF	4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	20220710	https://www.dawn.com/news/1699142/sindh-leads-charge-against-lumpy-skin-disease
1053363268	20220710	202207	2022	2022.5205											TUR	TURKEY	TUR								0	061	061	06	2	6.4	2	1	2	-2.40549828178694	0							1	Turkey	TU	TU	39.059012	34.911546	TU	1	Afghanistan	AF	AF	33	66	AF	20220710	https://www.dawn.com/news/1699142/sindh-leads-charge-against-lumpy-skin-disease
1053363291	20220710	202207	2022	2022.5205	AFGINSTAL	TALIBAN	AFG	TAL				INS			AFG	KANDAHAR	AFG								1	017	017	01	1	0.0	6	1	6	0.80645161290322	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	1	Afghanistan	AF	AF	33	66	AF	4	Moscow, Moskva, Russia	RS	RS48	55.7522	37.6156	-2960561	20220710	https://www.themalaysianinsight.com/g/390521
1053363709	20220710	202207	2022	2022.5205	MIL	MILITARY						MIL													0	110	110	11	3	-2.0	2	1	2	-0.0990099009901	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	0							4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://www.dawn.com/news/1699145/broken-promises-fuel-mistrust-of-ttp-bid-to-enter-mainstream
1053363734	20220710	202207	2022	2022.5205	MOS	MUSLIM				MOS					POL	POLAND	POL								0	051	051	05	1	3.4	6	1	6	0.80645161290322	1	Afghanistan	AF	AF	33	66	AF	4	Kruszyniany, Podlaskie, Poland	PL	PL81	53.1787	23.8137	-511159	1	Afghanistan	AF	AF	33	66	AF	20220710	https://www.themalaysianinsight.com/g/390521
1053363804	20220710	202207	2022	2022.5205	PAK	PAKISTAN	PAK								AFG	AFGHANISTAN	AFG								0	061	061	06	2	6.4	2	1	2	-2.40549828178694	4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	1	Afghanistan	AF	AF	33	66	AF	4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	20220710	https://www.dawn.com/news/1699142/sindh-leads-charge-against-lumpy-skin-disease
1053363805	20220710	202207	2022	2022.5205	PAK	PAKISTANI	PAK								AFG	AFGHANISTAN	AFG								0	061	061	06	2	6.4	6	1	6	-2.40549828178694	4	Lahore, Punjab, Pakistan	PK	PK04	31.5497	74.3436	-2767043	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220710	https://www.dawn.com/news/1699142/sindh-leads-charge-against-lumpy-skin-disease
1053363885	20220710	202207	2022	2022.5205	USA	UNITED STATES	USA																		0	051	051	05	1	3.4	1	1	1	2.07100591715976	3	Washington, District of Columbia, United States	US	USDC	38.8951	-77.0364	531871	0							1	Afghanistan	AF	AF	33	66	AF	20220710	https://www.thewrap.com/jon-stewart-2024-presidential-run-no-thank-you/
1053366949	20220710	202207	2022	2022.5205	AFG	AFGHANISTAN	AFG								GOV	TRADE MINIST						GOV			0	020	020	02	1	3.0	292	136	292	0.201652883110256	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220710	https://www.leighjournal.co.uk/news/20268592.tom-tugendhat-highlights-back-story-military-pitch-top-job/
1053366950	20220710	202207	2022	2022.5205	AFG	AFGHANISTAN	AFG								IRL	IRELAND	IRL								0	013	013	01	1	0.4	266	123	266	0.266953540876986	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	20220710	https://www.leighjournal.co.uk/news/20268592.tom-tugendhat-highlights-back-story-military-pitch-top-job/
1053366951	20220710	202207	2022	2022.5205	AFG	AFGHANISTAN	AFG								IRL	IRELAND	IRL								0	013	013	01	1	0.4	133	123	133	0.266953540876986	4	Sunak, Daykondi, Afghanistan	AF	AF41	33.9224	65.8281	-3393903	1	Ireland	EI	EI	53	-8	EI	1	Ireland	EI	EI	53	-8	EI	20220710	https://www.leighjournal.co.uk/news/20268592.tom-tugendhat-highlights-back-story-military-pitch-top-job/
1053366952	20220710	202207	2022	2022.5205	AFG	AFGHANISTAN	AFG								USA	UNITED STATES	USA								1	084	084	08	2	7.0	34	7	34	-3.62690565486337	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220710	https://english.news.cn/20220710/203271524bef4af2ae7ec2fd81d6b779/c.html
