1053766057	20220713	202207	2022	2022.5288	AFG	AFGHAN	AFG																		1	190	190	19	4	-10.0	135	15	135	-8.19637073455885	5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	0							5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766058	20220713	202207	2022	2022.5288	AFG	AFGHAN	AFG																		1	193	193	19	4	-10.0	126	15	126	-8.19637073455885	5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	0							5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766059	20220713	202207	2022	2022.5288	AFG	AFGHAN	AFG								MIL	MILITARY						MIL			1	190	190	19	4	-10.0	57	12	57	-8.51293128039416	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766060	20220713	202207	2022	2022.5288	AFG	AFGHANISTAN	AFG								USA	NEW YORK	USA								1	173	173	17	4	-5.0	2	2	2	-8.12000424473387	1	Afghanistan	AF	AF	33	66	AF	2	New York, United States	US	USNY	42.1497	-74.9384	NY	1	Afghanistan	AF	AF	33	66	AF	20220713	https://www.thecentersquare.com/national/ice-removing-noncitizens-with-terrorist-ties-after-lengthy-court-proceedings/article_e6536332-01db-11ed-bada-2bdc8646b976.html
1053766061	20220713	202207	2022	2022.5288	AFG	AFGHANISTAN	AFG								USA	NEW YORK	USA								1	173	173	17	4	-5.0	2	2	2	-8.12000424473387	1	Afghanistan	AF	AF	33	66	AF	2	New York, United States	US	USNY	42.1497	-74.9384	NY	2	New York, United States	US	USNY	42.1497	-74.9384	NY	20220713	https://www.thecentersquare.com/national/ice-removing-noncitizens-with-terrorist-ties-after-lengthy-court-proceedings/article_e6536332-01db-11ed-bada-2bdc8646b976.html
1053766253	20220713	202207	2022	2022.5288	COP	PRISON						COP													1	0841	084	08	2	7.0	8	2	8	-8.12000424473387	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220713	https://www.thecentersquare.com/national/ice-removing-noncitizens-with-terrorist-ties-after-lengthy-court-proceedings/article_e6536332-01db-11ed-bada-2bdc8646b976.html
1053766260	20220713	202207	2022	2022.5288	COP	PRISON						COP													1	173	173	17	4	-5.0	8	2	8	-8.12000424473387	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220713	https://www.thecentersquare.com/national/ice-removing-noncitizens-with-terrorist-ties-after-lengthy-court-proceedings/article_e6536332-01db-11ed-bada-2bdc8646b976.html
1053766472	20220713	202207	2022	2022.5288	GBR	BRITISH	GBR								SAS	SOUTH ASIA	SAS								1	062	062	06	2	7.4	36	12	36	-8.51293128039416	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766473	20220713	202207	2022	2022.5288	GBR	BRITISH	GBR								SAS	SOUTH ASIA	SAS								1	062	062	06	2	7.4	84	12	84	-8.51293128039416	1	United Kingdom	UK	UK	54	-4	UK	5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	1	United Kingdom	UK	UK	54	-4	UK	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766486	20220713	202207	2022	2022.5288	GBRMIL	UNITED KINGDOM	GBR					MIL			AFG	AFGHANISTAN	AFG								1	190	190	19	4	-10.0	23	12	23	-8.51293128039416	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	34.5167	69.1833	-3378435	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053766623	20220713	202207	2022	2022.5288	GOVMIL	NATIONAL SECURITY ADVISER						GOV	MIL		VEN	VENEZUELA	VEN								1	042	042	04	1	1.9	4	1	4	-3.66972477064221	1	Afghanistan	AF	AF	33	66	AF	1	Kenya	KE	KE	1	38	KE	1	Kenya	KE	KE	1	38	KE	20220713	https://www.msn.com/en-us/news/politics/former-senior-us-official-john-bolton-admits-to-planning-attempted-foreign-coups/ar-AAZvgph
1053766877	20220713	202207	2022	2022.5288	LEG	LAWMAKER						LEG													1	112	112	11	3	-2.0	141	24	141	-3.67276671183056	1	Afghanistan	AF	AF	33	66	AF	0							1	Afghanistan	AF	AF	33	66	AF	20220713	https://www.investing.com/news/world-news/former-senior-us-official-john-bolton-admits-to-planning-attempted-foreign-coups-2846551
1053766896	20220713	202207	2022	2022.5288	LEG	LAWMAKER						LEG			USA	UNITED STATES	USA								1	1123	112	11	3	-2.0	2	1	2	-3.72340425531915	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	1	Afghanistan	AF	AF	33	66	AF	20220713	https://www.investing.com/news/world-news/former-senior-us-official-john-bolton-admits-to-planning-attempted-foreign-coups-2846551
1053766897	20220713	202207	2022	2022.5288	LEG	LAWMAKER						LEG			USA	UNITED STATES	USA								1	1123	112	11	3	-2.0	45	23	45	-3.67056507950497	1	Afghanistan	AF	AF	33	66	AF	1	Kenya	KE	KE	1	38	KE	1	Kenya	KE	KE	1	38	KE	20220713	https://news.yahoo.com/former-senior-u-official-john-233610352.html
1053767019	20220713	202207	2022	2022.5288	NGOHRIAMN	AMNESTY INTERNATIONAL		AMN				NGO	HRI												0	020	020	02	1	3.0	120	12	120	-8.51293128039416	5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	0							5	Helmand, Helmand, Afghanistan	AF	AF10	31	64	-3377342	20220713	https://www.bignewsnetwork.com/news/272618293/report-alleges-british-soldiers-committed-war-crimes-in-afghanistan
1053767638	20220713	202207	2022	2022.5288	USA	BUFFALO	USA								UAF	TERRORIST ORGANIZATION						UAF			0	050	050	05	1	3.5	6	2	6	-8.12000424473387	1	Afghanistan	AF	AF	33	66	AF	1	El Salvador	ES	ES	13.833333	-88.916667	ES	1	El Salvador	ES	ES	13.833333	-88.916667	ES	20220713	https://www.thecentersquare.com/national/ice-removing-noncitizens-with-terrorist-ties-after-lengthy-court-proceedings/article_e6536332-01db-11ed-bada-2bdc8646b976.html
